input,output
"Classify complaint: Hello Support Team, I am facing an issue related to loan approval taking too long. The issue has persisted for several days. I am unable to continue normal banking. This situation is unacceptable. I request urgent assistance.",loan
"Classify complaint: Dear Customer Care, I am facing an issue related to general banking inquiry. I already contacted support but received no resolution. I am unable to continue normal banking. This is very frustrating. Kindly investigate and update me. urgent",other
"Classify complaint: Hello Support Team, I am facing an issue related to profile update failing. I already contacted support but received no resolution.   Please refund the deducted amount. pls help",account
"Classify complaint: Dear Customer Care, I am facing an issue related to loan approval taking too long. I already contacted support but received no resolution. I am unable to continue normal banking. I am disappointed with the service. Please refund the deducted amount. urgent",loan
"Classify complaint: Dear Customer Care, I am facing an issue related to loan approval taking too long. I already contacted support but received no resolution. This has caused financial stress. This is very frustrating. Please refund the deducted amount.",loan
Classify complaint: This is regarding a serious concern. I am facing an issue related to loan disbursement delayed.  I am extremely worried about this. This is very frustrating. Please refund the deducted amount. urgent,loan
"Classify complaint: Dear Customer Care, I am facing an issue related to mobile app crashing frequently.  I am unable to continue normal banking. I am disappointed with the service. Kindly investigate and update me. urgent",other
"Classify complaint: Hi Team, I am facing an issue related to unauthorized transaction on my credit card. The issue has persisted for several days. I am extremely worried about this. This situation is unacceptable. Kindly investigate and update me. urgent",credit_card
Classify complaint: I am writing to report an issue. I am facing an issue related to someone accessed my account. I noticed this issue recently. This issue is affecting my daily transactions. I am disappointed with the service. Kindly investigate and update me. !!!!,fraud
"Classify complaint: Hi Team, I am facing an issue related to double payment charged. I noticed this issue recently. This issue is affecting my daily transactions. This situation is unacceptable. Please refund the deducted amount. pls help",payment
Classify complaint: I am writing to report an issue. I am facing an issue related to interest rate suddenly increased. I noticed this issue recently. I am unable to continue normal banking. This situation is unacceptable. I request urgent assistance. urgent,loan
Classify complaint: This is regarding a serious concern. I am facing an issue related to unexpected credit card charges. I already contacted support but received no resolution. I am extremely worried about this. This situation is unacceptable. Please refund the deducted amount. pls help,credit_card
"Classify complaint: Hello Support Team, I am facing an issue related to account hacked. This problem started yesterday. I am unable to continue normal banking. This situation is unacceptable. Please refund the deducted amount.",fraud
Classify complaint: This is regarding a serious concern. I am facing an issue related to incorrect EMI deduction. This problem started yesterday. I am extremely worried about this. This is very frustrating. Please resolve this immediately. urgent,loan
"Classify complaint: Dear Customer Care, I am facing an issue related to account locked automatically. I noticed this issue recently. This issue is affecting my daily transactions. This situation is unacceptable. I request urgent assistance. pls help",account
Classify complaint: This is regarding a serious concern. I am facing an issue related to interest rate suddenly increased. I noticed this issue recently. This has caused financial stress. This is very frustrating. Please refund the deducted amount. !!!!,loan
"Classify complaint: Dear Customer Care, I am facing an issue related to credit limit reduced without notice. I already contacted support but received no resolution. This issue is affecting my daily transactions. I am disappointed with the service. Looking forward to quick resolution.",credit_card
Classify complaint: This is regarding a serious concern. I am facing an issue related to loan approval taking too long. I noticed this issue recently. This has caused financial stress.  I request urgent assistance. urgent,loan
"Classify complaint: Hi Team, I am facing an issue related to account hacked. The issue has persisted for several days. This issue is affecting my daily transactions. This situation is unacceptable. I request urgent assistance. pls help",fraud
Classify complaint: I am writing to report an issue. I am facing an issue related to suspicious login activity.   I am disappointed with the service. Looking forward to quick resolution. urgent,fraud
"Classify complaint: Hi Team, I am facing an issue related to loan application rejected.  I am unable to continue normal banking.  I request urgent assistance. pls help",loan
Classify complaint: This is regarding a serious concern. I am facing an issue related to payment failed but money deducted. I noticed this issue recently. This has caused financial stress. This is very frustrating. Please refund the deducted amount. pls help,payment
Classify complaint: I am writing to report an issue. I am facing an issue related to mobile app crashing frequently.   This situation is unacceptable. Kindly investigate and update me. !!!!,other
"Classify complaint: Dear Customer Care, I am facing an issue related to mobile app crashing frequently. This problem started yesterday. I am unable to continue normal banking.  Please refund the deducted amount. pls help",other
Classify complaint: This is regarding a serious concern. I am facing an issue related to UPI transaction stuck. The issue has persisted for several days.   Kindly investigate and update me. asap,payment
"Classify complaint: Hello Support Team, I am facing an issue related to service quality issue. I noticed this issue recently. This issue is affecting my daily transactions. I am disappointed with the service. Kindly investigate and update me. pls help",other
"Classify complaint: Hello Support Team, I am facing an issue related to credit card declined during payment. I already contacted support but received no resolution. I am unable to continue normal banking. This is very frustrating. Please resolve this immediately. urgent",credit_card
Classify complaint: This is regarding a serious concern. I am facing an issue related to payment not reflected.  I am unable to continue normal banking. I am disappointed with the service. Kindly investigate and update me. !!!!,payment
"Classify complaint: Hi Team, I am facing an issue related to payment failed but money deducted.  I am extremely worried about this. This situation is unacceptable. Please refund the deducted amount. asap",payment
"Classify complaint: Dear Customer Care, I am facing an issue related to unable to login to my account. I already contacted support but received no resolution. This has caused financial stress. This is very frustrating. Looking forward to quick resolution. asap",account
Classify complaint: This is regarding a serious concern. I am facing an issue related to credit card declined during payment. This problem started yesterday. I am unable to continue normal banking. This situation is unacceptable. Looking forward to quick resolution. !!!!,credit_card
Classify complaint: I am writing to report an issue. I am facing an issue related to unexpected credit card charges. This problem started yesterday. I am extremely worried about this.  Please resolve this immediately. !!!!,credit_card
"Classify complaint: Hello Support Team, I am facing an issue related to mobile number update issue.  I am unable to continue normal banking.  Looking forward to quick resolution. asap",account
Classify complaint: This is regarding a serious concern. I am facing an issue related to mobile app crashing frequently. I already contacted support but received no resolution. I am unable to continue normal banking. This situation is unacceptable. Please resolve this immediately.,other
"Classify complaint: Hello Support Team, I am facing an issue related to UPI transaction stuck. I already contacted support but received no resolution. This issue is affecting my daily transactions. This situation is unacceptable. Please resolve this immediately.",payment
Classify complaint: I am writing to report an issue. I am facing an issue related to password reset not working. I noticed this issue recently. This issue is affecting my daily transactions. This situation is unacceptable. Please refund the deducted amount. pls help,account
"Classify complaint: Hi Team, I am facing an issue related to mobile app crashing frequently. I noticed this issue recently.  This is very frustrating. Looking forward to quick resolution. !!!!",other
"Classify complaint: Hi Team, I am facing an issue related to UPI transaction stuck. I noticed this issue recently. I am extremely worried about this. This situation is unacceptable. Please resolve this immediately.",payment
"Classify complaint: Hi Team, I am facing an issue related to suspicious login activity. The issue has persisted for several days. I am extremely worried about this. This is very frustrating. Please refund the deducted amount. urgent",fraud
Classify complaint: I am writing to report an issue. I am facing an issue related to mobile number update issue. This problem started yesterday. This has caused financial stress.  Please refund the deducted amount. !!!!,account
"Classify complaint: Hello Support Team, I am facing an issue related to interest rate suddenly increased. I noticed this issue recently. I am unable to continue normal banking.  Kindly investigate and update me. !!!!",loan
"Classify complaint: Hi Team, I am facing an issue related to unauthorized transaction on my credit card.  I am extremely worried about this. This is very frustrating. Looking forward to quick resolution.",credit_card
"Classify complaint: Hello Support Team, I am facing an issue related to loan application rejected.  This issue is affecting my daily transactions. I am disappointed with the service. Please refund the deducted amount. pls help",loan
"Classify complaint: Hi Team, I am facing an issue related to double payment charged. I already contacted support but received no resolution. This issue is affecting my daily transactions. This is very frustrating. Kindly investigate and update me. asap",payment
"Classify complaint: Hi Team, I am facing an issue related to fraudulent transaction detected. I noticed this issue recently.  This is very frustrating. Please resolve this immediately.",fraud
Classify complaint: This is regarding a serious concern. I am facing an issue related to international transaction not working. I noticed this issue recently. I am unable to continue normal banking. This situation is unacceptable. Please resolve this immediately. urgent,credit_card
"Classify complaint: Hello Support Team, I am facing an issue related to password reset not working.  I am extremely worried about this. This situation is unacceptable. Please refund the deducted amount. urgent",account
Classify complaint: I am writing to report an issue. I am facing an issue related to UPI transaction stuck. I already contacted support but received no resolution. I am extremely worried about this.  Please resolve this immediately. asap,payment
"Classify complaint: Hi Team, I am facing an issue related to credit card declined during payment.  I am unable to continue normal banking. I am disappointed with the service. I request urgent assistance. !!!!",credit_card
"Classify complaint: Dear Customer Care, I am facing an issue related to customer support not responding. I already contacted support but received no resolution.  I am disappointed with the service. Please refund the deducted amount. !!!!",other
"Classify complaint: Hello Support Team, I am facing an issue related to double payment charged. I noticed this issue recently. This issue is affecting my daily transactions. This situation is unacceptable. Looking forward to quick resolution. urgent",payment
"Classify complaint: Hi Team, I am facing an issue related to loan approval taking too long. This problem started yesterday. I am extremely worried about this. This is very frustrating. Please refund the deducted amount.",loan
Classify complaint: I am writing to report an issue. I am facing an issue related to credit limit reduced without notice.   I am disappointed with the service. I request urgent assistance. pls help,credit_card
"Classify complaint: Dear Customer Care, I am facing an issue related to payment failed but money deducted. I already contacted support but received no resolution. I am unable to continue normal banking.  Please resolve this immediately.",payment
"Classify complaint: Hello Support Team, I am facing an issue related to credit limit reduced without notice. I noticed this issue recently.  This situation is unacceptable. Looking forward to quick resolution.",credit_card
"Classify complaint: Dear Customer Care, I am facing an issue related to profile update failing. The issue has persisted for several days.  This situation is unacceptable. Please resolve this immediately. asap",account
Classify complaint: This is regarding a serious concern. I am facing an issue related to technical issue in application. I noticed this issue recently.  This situation is unacceptable. Looking forward to quick resolution. !!!!,other
Classify complaint: This is regarding a serious concern. I am facing an issue related to loan approval taking too long. I already contacted support but received no resolution.  This is very frustrating. I request urgent assistance. pls help,loan
"Classify complaint: Hello Support Team, I am facing an issue related to credit card declined during payment.  I am extremely worried about this. I am disappointed with the service. I request urgent assistance. pls help",credit_card
Classify complaint: This is regarding a serious concern. I am facing an issue related to profile update failing. The issue has persisted for several days.   Looking forward to quick resolution. pls help,account
Classify complaint: I am writing to report an issue. I am facing an issue related to password reset not working.  This issue is affecting my daily transactions. This is very frustrating. Please resolve this immediately. asap,account
"Classify complaint: Hello Support Team, I am facing an issue related to account hacked. I noticed this issue recently. This issue is affecting my daily transactions. This situation is unacceptable. Kindly investigate and update me. !!!!",fraud
"Classify complaint: Hi Team, I am facing an issue related to general banking inquiry. I noticed this issue recently. This has caused financial stress. This is very frustrating. Please refund the deducted amount. asap",other
"Classify complaint: Hi Team, I am facing an issue related to password reset not working. The issue has persisted for several days. I am unable to continue normal banking.  Looking forward to quick resolution. pls help",account
Classify complaint: This is regarding a serious concern. I am facing an issue related to technical issue in application. This problem started yesterday. I am unable to continue normal banking. This is very frustrating. Please resolve this immediately. !!!!,other
Classify complaint: This is regarding a serious concern. I am facing an issue related to password reset not working. I already contacted support but received no resolution.  I am disappointed with the service. I request urgent assistance. urgent,account
Classify complaint: This is regarding a serious concern. I am facing an issue related to general banking inquiry.  I am unable to continue normal banking. This is very frustrating. Please refund the deducted amount. !!!!,other
"Classify complaint: Hi Team, I am facing an issue related to fraudulent transaction detected. I noticed this issue recently. This has caused financial stress.  Looking forward to quick resolution.",fraud
"Classify complaint: Hi Team, I am facing an issue related to incorrect EMI deduction. This problem started yesterday. This issue is affecting my daily transactions. This is very frustrating. Kindly investigate and update me.",loan
Classify complaint: I am writing to report an issue. I am facing an issue related to account hacked. I noticed this issue recently. I am extremely worried about this. This situation is unacceptable. Please resolve this immediately.,fraud
"Classify complaint: Hello Support Team, I am facing an issue related to fraudulent transaction detected. I already contacted support but received no resolution.  This is very frustrating. Please refund the deducted amount. asap",fraud
Classify complaint: I am writing to report an issue. I am facing an issue related to customer support not responding.   This situation is unacceptable. Please refund the deducted amount. urgent,other
"Classify complaint: Hello Support Team, I am facing an issue related to unauthorized transaction on my credit card.  This has caused financial stress. This is very frustrating. Kindly investigate and update me.",credit_card
"Classify complaint: Dear Customer Care, I am facing an issue related to international transaction not working. The issue has persisted for several days. I am extremely worried about this. This is very frustrating. Please resolve this immediately. !!!!",credit_card
"Classify complaint: Hi Team, I am facing an issue related to transaction pending for long time. I noticed this issue recently. This issue is affecting my daily transactions. This is very frustrating. Kindly investigate and update me. !!!!",payment
Classify complaint: I am writing to report an issue. I am facing an issue related to mobile app crashing frequently. The issue has persisted for several days. I am extremely worried about this. This situation is unacceptable. Please refund the deducted amount. asap,other
Classify complaint: This is regarding a serious concern. I am facing an issue related to suspicious login activity. The issue has persisted for several days. This issue is affecting my daily transactions. I am disappointed with the service. I request urgent assistance.,fraud
Classify complaint: I am writing to report an issue. I am facing an issue related to unexpected credit card charges. I noticed this issue recently. This has caused financial stress. This is very frustrating. Looking forward to quick resolution. asap,credit_card
"Classify complaint: Hello Support Team, I am facing an issue related to UPI transaction stuck. The issue has persisted for several days. I am extremely worried about this.  Kindly investigate and update me. pls help",payment
"Classify complaint: Hello Support Team, I am facing an issue related to credit card declined during payment. The issue has persisted for several days. I am unable to continue normal banking. I am disappointed with the service. Please refund the deducted amount. pls help",credit_card
"Classify complaint: Hello Support Team, I am facing an issue related to UPI transaction stuck. This problem started yesterday. This has caused financial stress. This situation is unacceptable. Please refund the deducted amount. !!!!",payment
Classify complaint: I am writing to report an issue. I am facing an issue related to profile update failing. I already contacted support but received no resolution. This issue is affecting my daily transactions. This situation is unacceptable. Looking forward to quick resolution. asap,account
"Classify complaint: Hello Support Team, I am facing an issue related to unauthorized transaction on my credit card.  This has caused financial stress. This situation is unacceptable. Please resolve this immediately. !!!!",credit_card
"Classify complaint: Hello Support Team, I am facing an issue related to payment failed but money deducted.  I am unable to continue normal banking. This is very frustrating. Please refund the deducted amount. asap",payment
Classify complaint: This is regarding a serious concern. I am facing an issue related to double payment charged. The issue has persisted for several days. This has caused financial stress.  Please resolve this immediately. urgent,payment
Classify complaint: This is regarding a serious concern. I am facing an issue related to transaction pending for long time.   This is very frustrating. Looking forward to quick resolution. !!!!,payment
Classify complaint: This is regarding a serious concern. I am facing an issue related to loan application rejected. I already contacted support but received no resolution. I am unable to continue normal banking. I am disappointed with the service. Please refund the deducted amount. pls help,loan
"Classify complaint: Hi Team, I am facing an issue related to incorrect EMI deduction.  I am unable to continue normal banking. This situation is unacceptable. Kindly investigate and update me. !!!!",loan
"Classify complaint: Hello Support Team, I am facing an issue related to loan disbursement delayed. This problem started yesterday. This issue is affecting my daily transactions.  I request urgent assistance. pls help",loan
Classify complaint: I am writing to report an issue. I am facing an issue related to profile update failing. I noticed this issue recently. I am extremely worried about this. This situation is unacceptable. Please resolve this immediately. urgent,account
Classify complaint: I am writing to report an issue. I am facing an issue related to unexpected credit card charges. I already contacted support but received no resolution. This issue is affecting my daily transactions. This situation is unacceptable. Please refund the deducted amount. asap,credit_card
Classify complaint: I am writing to report an issue. I am facing an issue related to password reset not working.  This has caused financial stress. This is very frustrating. Looking forward to quick resolution. pls help,account
"Classify complaint: Hello Support Team, I am facing an issue related to fraudulent transaction detected. I already contacted support but received no resolution. This has caused financial stress. This is very frustrating. Looking forward to quick resolution. !!!!",fraud
"Classify complaint: Hi Team, I am facing an issue related to suspicious login activity. The issue has persisted for several days. I am extremely worried about this. I am disappointed with the service. Please resolve this immediately. pls help",fraud
Classify complaint: This is regarding a serious concern. I am facing an issue related to international transaction not working. The issue has persisted for several days. This has caused financial stress. This is very frustrating. Please refund the deducted amount. pls help,credit_card
"Classify complaint: Dear Customer Care, I am facing an issue related to account hacked. I already contacted support but received no resolution. This issue is affecting my daily transactions.  Kindly investigate and update me. pls help",fraud
"Classify complaint: Hello Support Team, I am facing an issue related to credit limit reduced without notice.  I am extremely worried about this. This is very frustrating. Please resolve this immediately. urgent",credit_card
Classify complaint: This is regarding a serious concern. I am facing an issue related to customer support not responding. I noticed this issue recently. I am extremely worried about this. This is very frustrating. Please resolve this immediately. urgent,other
"Classify complaint: Hi Team, I am facing an issue related to unable to login to my account. I noticed this issue recently. I am extremely worried about this. This is very frustrating. Please resolve this immediately. asap",account
Classify complaint: I am writing to report an issue. I am facing an issue related to international transaction not working. I already contacted support but received no resolution. This has caused financial stress. I am disappointed with the service. Please refund the deducted amount. !!!!,credit_card
Classify complaint: I am writing to report an issue. I am facing an issue related to loan approval taking too long. This problem started yesterday.  This situation is unacceptable. Please refund the deducted amount. asap,loan
"Classify complaint: Dear Customer Care, I am facing an issue related to payment not reflected. This problem started yesterday. This issue is affecting my daily transactions. This situation is unacceptable. Looking forward to quick resolution.",payment
"Classify complaint: Dear Customer Care, I am facing an issue related to unauthorized transaction on my credit card. The issue has persisted for several days. I am unable to continue normal banking. This is very frustrating. Kindly investigate and update me. !!!!",credit_card
"Classify complaint: Hello Support Team, I am facing an issue related to transaction pending for long time. This problem started yesterday. This issue is affecting my daily transactions.  I request urgent assistance. pls help",payment
"Classify complaint: Hello Support Team, I am facing an issue related to technical issue in application. I noticed this issue recently.  I am disappointed with the service. Looking forward to quick resolution. pls help",other
Classify complaint: I am writing to report an issue. I am facing an issue related to someone accessed my account. This problem started yesterday. I am unable to continue normal banking. This is very frustrating. Please refund the deducted amount. !!!!,fraud
Classify complaint: I am writing to report an issue. I am facing an issue related to international transaction not working. I noticed this issue recently. I am unable to continue normal banking. This situation is unacceptable. I request urgent assistance. asap,credit_card
"Classify complaint: Hi Team, I am facing an issue related to unauthorized transaction on my credit card. The issue has persisted for several days. This issue is affecting my daily transactions. This is very frustrating. Please resolve this immediately.",credit_card
Classify complaint: I am writing to report an issue. I am facing an issue related to fraudulent transaction detected. I already contacted support but received no resolution.  I am disappointed with the service. Please refund the deducted amount. asap,fraud
Classify complaint: I am writing to report an issue. I am facing an issue related to interest rate suddenly increased. I already contacted support but received no resolution. This has caused financial stress.  Looking forward to quick resolution. pls help,loan
"Classify complaint: Hello Support Team, I am facing an issue related to customer support not responding.  This issue is affecting my daily transactions. This situation is unacceptable. Kindly investigate and update me. pls help",other
"Classify complaint: Hi Team, I am facing an issue related to account hacked. I noticed this issue recently. I am extremely worried about this. This situation is unacceptable. Please refund the deducted amount. pls help",fraud
Classify complaint: This is regarding a serious concern. I am facing an issue related to general banking inquiry.  This issue is affecting my daily transactions.  Kindly investigate and update me.,other
"Classify complaint: Dear Customer Care, I am facing an issue related to unable to login to my account. The issue has persisted for several days. This issue is affecting my daily transactions. I am disappointed with the service. Please resolve this immediately. pls help",account
Classify complaint: I am writing to report an issue. I am facing an issue related to mobile number update issue. This problem started yesterday. This issue is affecting my daily transactions. I am disappointed with the service. Kindly investigate and update me. !!!!,account
"Classify complaint: Dear Customer Care, I am facing an issue related to loan disbursement delayed. This problem started yesterday. I am unable to continue normal banking. I am disappointed with the service. Please refund the deducted amount. asap",loan
"Classify complaint: Hello Support Team, I am facing an issue related to technical issue in application. I already contacted support but received no resolution.  This is very frustrating. Looking forward to quick resolution. asap",other
"Classify complaint: Hi Team, I am facing an issue related to customer support not responding. The issue has persisted for several days. I am unable to continue normal banking. This situation is unacceptable. Please resolve this immediately.",other
Classify complaint: I am writing to report an issue. I am facing an issue related to password reset not working. The issue has persisted for several days. I am extremely worried about this.  Please resolve this immediately. asap,account
"Classify complaint: Hi Team, I am facing an issue related to service quality issue.  I am extremely worried about this. This is very frustrating. Please refund the deducted amount. pls help",other
"Classify complaint: Hi Team, I am facing an issue related to credit limit reduced without notice. This problem started yesterday.  This is very frustrating. Kindly investigate and update me. !!!!",credit_card
"Classify complaint: Hi Team, I am facing an issue related to payment failed but money deducted.   This situation is unacceptable. I request urgent assistance. pls help",payment
Classify complaint: I am writing to report an issue. I am facing an issue related to international transaction not working. The issue has persisted for several days. I am unable to continue normal banking.  Looking forward to quick resolution. asap,credit_card
"Classify complaint: Hi Team, I am facing an issue related to customer support not responding. I noticed this issue recently. I am extremely worried about this. I am disappointed with the service. Looking forward to quick resolution. !!!!",other
"Classify complaint: Hello Support Team, I am facing an issue related to payment failed but money deducted. The issue has persisted for several days. I am unable to continue normal banking.  Please resolve this immediately. urgent",payment
"Classify complaint: Hello Support Team, I am facing an issue related to service quality issue. This problem started yesterday.  This is very frustrating. Kindly investigate and update me.",other
"Classify complaint: Hi Team, I am facing an issue related to password reset not working. This problem started yesterday. I am unable to continue normal banking.  Please resolve this immediately. pls help",account
Classify complaint: This is regarding a serious concern. I am facing an issue related to incorrect EMI deduction.  This has caused financial stress.  Please resolve this immediately. pls help,loan
"Classify complaint: Dear Customer Care, I am facing an issue related to loan disbursement delayed. I noticed this issue recently. I am extremely worried about this. This situation is unacceptable. I request urgent assistance.",loan
"Classify complaint: Dear Customer Care, I am facing an issue related to UPI transaction stuck. This problem started yesterday. I am unable to continue normal banking. This is very frustrating. Please resolve this immediately.",payment
Classify complaint: I am writing to report an issue. I am facing an issue related to transaction pending for long time. I noticed this issue recently. I am unable to continue normal banking. I am disappointed with the service. Please resolve this immediately. !!!!,payment
"Classify complaint: Hello Support Team, I am facing an issue related to UPI transaction stuck. I already contacted support but received no resolution. This has caused financial stress.  Looking forward to quick resolution. !!!!",payment
Classify complaint: This is regarding a serious concern. I am facing an issue related to credit card declined during payment.    Please resolve this immediately. pls help,credit_card
Classify complaint: This is regarding a serious concern. I am facing an issue related to suspicious login activity. The issue has persisted for several days. I am unable to continue normal banking. I am disappointed with the service. I request urgent assistance. pls help,fraud
Classify complaint: This is regarding a serious concern. I am facing an issue related to unexpected credit card charges.  I am extremely worried about this.  Looking forward to quick resolution.,credit_card
Classify complaint: I am writing to report an issue. I am facing an issue related to credit limit reduced without notice. I already contacted support but received no resolution. I am extremely worried about this. I am disappointed with the service. Please refund the deducted amount. pls help,credit_card
"Classify complaint: Hi Team, I am facing an issue related to transaction pending for long time. I already contacted support but received no resolution.  This situation is unacceptable. I request urgent assistance. urgent",payment
"Classify complaint: Hello Support Team, I am facing an issue related to incorrect EMI deduction. The issue has persisted for several days. I am extremely worried about this. This situation is unacceptable. Looking forward to quick resolution. urgent",loan
Classify complaint: I am writing to report an issue. I am facing an issue related to double payment charged. I already contacted support but received no resolution. This issue is affecting my daily transactions. This situation is unacceptable. I request urgent assistance. !!!!,payment
"Classify complaint: Hi Team, I am facing an issue related to password reset not working.   This situation is unacceptable. Looking forward to quick resolution. urgent",account
Classify complaint: This is regarding a serious concern. I am facing an issue related to suspicious login activity. I noticed this issue recently. I am extremely worried about this. This is very frustrating. Kindly investigate and update me. asap,fraud
Classify complaint: I am writing to report an issue. I am facing an issue related to mobile app crashing frequently.  This has caused financial stress. This is very frustrating. Looking forward to quick resolution. urgent,other
"Classify complaint: Hello Support Team, I am facing an issue related to service quality issue. I already contacted support but received no resolution. This issue is affecting my daily transactions. This situation is unacceptable. Kindly investigate and update me. urgent",other
Classify complaint: This is regarding a serious concern. I am facing an issue related to UPI transaction stuck. This problem started yesterday. I am unable to continue normal banking.  Looking forward to quick resolution. !!!!,payment
"Classify complaint: Hello Support Team, I am facing an issue related to suspicious login activity. The issue has persisted for several days. This issue is affecting my daily transactions.  I request urgent assistance. asap",fraud
Classify complaint: This is regarding a serious concern. I am facing an issue related to interest rate suddenly increased. I noticed this issue recently. I am unable to continue normal banking. I am disappointed with the service. I request urgent assistance. !!!!,loan
"Classify complaint: Hi Team, I am facing an issue related to suspicious login activity. The issue has persisted for several days. I am unable to continue normal banking. This situation is unacceptable. Kindly investigate and update me. !!!!",fraud
"Classify complaint: Dear Customer Care, I am facing an issue related to suspicious login activity. I already contacted support but received no resolution. This has caused financial stress. This situation is unacceptable. I request urgent assistance.",fraud
"Classify complaint: Hello Support Team, I am facing an issue related to transaction pending for long time. This problem started yesterday. This issue is affecting my daily transactions.  I request urgent assistance. pls help",payment
"Classify complaint: Hello Support Team, I am facing an issue related to mobile number update issue. The issue has persisted for several days.  This is very frustrating. I request urgent assistance. pls help",account
Classify complaint: I am writing to report an issue. I am facing an issue related to unable to login to my account. This problem started yesterday. This issue is affecting my daily transactions. This is very frustrating. Please refund the deducted amount. pls help,account
"Classify complaint: Hello Support Team, I am facing an issue related to service quality issue.  I am extremely worried about this. This is very frustrating. Looking forward to quick resolution. pls help",other
Classify complaint: I am writing to report an issue. I am facing an issue related to profile update failing. The issue has persisted for several days.  I am disappointed with the service. Please refund the deducted amount. urgent,account
Classify complaint: This is regarding a serious concern. I am facing an issue related to UPI transaction stuck. I already contacted support but received no resolution. This has caused financial stress. I am disappointed with the service. I request urgent assistance.,payment
Classify complaint: This is regarding a serious concern. I am facing an issue related to profile update failing. The issue has persisted for several days. This has caused financial stress. This situation is unacceptable. Kindly investigate and update me. !!!!,account
"Classify complaint: Hello Support Team, I am facing an issue related to account locked automatically. This problem started yesterday. I am extremely worried about this. This is very frustrating. Please resolve this immediately.",account
Classify complaint: I am writing to report an issue. I am facing an issue related to unexpected credit card charges. I noticed this issue recently. I am extremely worried about this. I am disappointed with the service. Kindly investigate and update me. !!!!,credit_card
Classify complaint: This is regarding a serious concern. I am facing an issue related to unauthorized transaction on my credit card.  This has caused financial stress. This situation is unacceptable. I request urgent assistance. asap,credit_card
Classify complaint: This is regarding a serious concern. I am facing an issue related to loan disbursement delayed. I noticed this issue recently. I am unable to continue normal banking. This situation is unacceptable. Please refund the deducted amount. !!!!,loan
"Classify complaint: Hi Team, I am facing an issue related to loan approval taking too long.  I am extremely worried about this. I am disappointed with the service. I request urgent assistance. asap",loan
"Classify complaint: Dear Customer Care, I am facing an issue related to payment failed but money deducted. The issue has persisted for several days. I am unable to continue normal banking. This is very frustrating. Please refund the deducted amount. !!!!",payment
"Classify complaint: Hello Support Team, I am facing an issue related to international transaction not working. I noticed this issue recently. I am extremely worried about this. This situation is unacceptable. Kindly investigate and update me. pls help",credit_card
"Classify complaint: Hi Team, I am facing an issue related to profile update failing. The issue has persisted for several days. This issue is affecting my daily transactions. I am disappointed with the service. Please refund the deducted amount. asap",account
"Classify complaint: Hi Team, I am facing an issue related to incorrect EMI deduction.   This situation is unacceptable. Please resolve this immediately. urgent",loan
"Classify complaint: Hi Team, I am facing an issue related to profile update failing. The issue has persisted for several days. This has caused financial stress. This is very frustrating. Kindly investigate and update me. asap",account
Classify complaint: I am writing to report an issue. I am facing an issue related to account hacked. This problem started yesterday. I am unable to continue normal banking. This is very frustrating. Please resolve this immediately.,fraud
"Classify complaint: Hi Team, I am facing an issue related to payment failed but money deducted. This problem started yesterday. I am extremely worried about this. I am disappointed with the service. Kindly investigate and update me. pls help",payment
"Classify complaint: Hello Support Team, I am facing an issue related to credit card declined during payment. This problem started yesterday. I am unable to continue normal banking. I am disappointed with the service. Please resolve this immediately. pls help",credit_card
"Classify complaint: Hi Team, I am facing an issue related to interest rate suddenly increased. This problem started yesterday.   Looking forward to quick resolution.",loan
Classify complaint: This is regarding a serious concern. I am facing an issue related to customer support not responding.  I am extremely worried about this. This situation is unacceptable. I request urgent assistance. !!!!,other
"Classify complaint: Dear Customer Care, I am facing an issue related to loan disbursement delayed. I noticed this issue recently. This issue is affecting my daily transactions. This situation is unacceptable. Please resolve this immediately. !!!!",loan
"Classify complaint: Hello Support Team, I am facing an issue related to suspicious login activity. I already contacted support but received no resolution.  I am disappointed with the service. Please refund the deducted amount. !!!!",fraud
"Classify complaint: Hi Team, I am facing an issue related to password reset not working. I noticed this issue recently. I am extremely worried about this.  Please resolve this immediately.",account
Classify complaint: I am writing to report an issue. I am facing an issue related to unauthorized transaction on my credit card.  I am unable to continue normal banking. This is very frustrating. I request urgent assistance.,credit_card
Classify complaint: This is regarding a serious concern. I am facing an issue related to international transaction not working. I noticed this issue recently.  I am disappointed with the service. I request urgent assistance. urgent,credit_card
"Classify complaint: Hello Support Team, I am facing an issue related to suspicious login activity.  This has caused financial stress.  Looking forward to quick resolution. asap",fraud
"Classify complaint: Hi Team, I am facing an issue related to unable to login to my account. This problem started yesterday. This issue is affecting my daily transactions. This situation is unacceptable. Kindly investigate and update me.",account
"Classify complaint: Dear Customer Care, I am facing an issue related to UPI transaction stuck. I already contacted support but received no resolution. This issue is affecting my daily transactions. This is very frustrating. Please refund the deducted amount. !!!!",payment
"Classify complaint: Hi Team, I am facing an issue related to account locked automatically. I already contacted support but received no resolution. This has caused financial stress. This situation is unacceptable. Kindly investigate and update me. pls help",account
"Classify complaint: Dear Customer Care, I am facing an issue related to general banking inquiry.  This has caused financial stress. This situation is unacceptable. Please refund the deducted amount. !!!!",other
"Classify complaint: Dear Customer Care, I am facing an issue related to payment not reflected. I already contacted support but received no resolution. I am unable to continue normal banking. I am disappointed with the service. Kindly investigate and update me. !!!!",payment
